time="2017-09-29T07:38:29.971861643Z" level=debug msg="Listener created for HTTP on unix (/var/run/docker.sock)"
time="2017-09-29T07:38:29.973612833Z" level=info msg="libcontainerd: new containerd process, pid: 19780"
time="2017-09-29T07:38:29.987496719Z" level=warning msg="containerd: low RLIMIT_NOFILE changing to max" current=1024 max=65536 
time="2017-09-29T07:38:29.987898762Z" level=debug msg="containerd: read past events" count=0 
time="2017-09-29T07:38:29.988015554Z" level=debug msg="containerd: supervisor running" cpus=2 memory=6966 runtime=docker-runc runtimeArgs=[] stateDir="/var/run/docker/libcontainerd/containerd" 
time="2017-09-29T07:38:29.988766302Z" level=debug msg="containerd: grpc api on /var/run/docker/libcontainerd/docker-containerd.sock" 
time="2017-09-29T07:38:31.020476436Z" level=debug msg="Loaded container 224ec605840d917cba9e50c2691a4c1b1c6a2c115465a9c1331a2326cedf18da"
time="2017-09-29T07:38:31.020745698Z" level=debug msg="Loaded container 22aa621a8ad713e4a32fd2a43ea1365f6445361637406e828e983e6b61a5848d"
time="2017-09-29T07:38:31.021040506Z" level=debug msg="Loaded container 2387092a07c80c8e4c02662140e6bd554f04eadeb058ce61aac0ac9996244053"
time="2017-09-29T07:38:31.021295368Z" level=debug msg="Loaded container 24055289a9985836e4d60bc8472f7f24563ac91e85b158175aaefe7523826779"
time="2017-09-29T07:38:31.021587315Z" level=debug msg="Loaded container 244de4fe4aadba6231b43294584069a6a45095c419ca9e54ba499dbb5378dec7"
time="2017-09-29T07:38:31.021878966Z" level=debug msg="Loaded container 24944064a41632e24c21c67d020343ecb66259dc391d74ddc3e1227e02f557a2"
time="2017-09-29T07:38:31.022135801Z" level=debug msg="Loaded container 24e374bd6268f0996cd816233b02c5a278faaf723270552a0e637f0dc512178d"
time="2017-09-29T07:38:31.022364032Z" level=debug msg="Loaded container 24f87c5ed377f209900aa5bf02e58c8564c97a9025b2c004f107cbc47c0331dc"
time="2017-09-29T07:38:31.022591179Z" level=debug msg="Loaded container 2583eb22d273e91533ccb0d6bb898951fa39b70e8ee072597a357d5c12f0db72"
time="2017-09-29T07:38:31.022874348Z" level=debug msg="Loaded container 25957dea326f0a32a67e28c4a6f14c54644b5cd095dde76841a4b21c3b2e30b9"
